"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"605","605","292","6195","347","-23"
"606","606","289","5970","347","-20"
"607","607","289","5769","347","-16.2"
"608","608","292","5598","347","-11.4"
"609","609","296","5451","347","-6.5"
"610","610","303","5328","347","-4.25"
"611","611","312","5230","347","-0.3"
"612","612","322","5159","347","5.45"
"613","613","334","5116","347","12.05"
"614","614","349","5099","347","18.8"
"615","615","365","5099","347","20.4"
"616","616","383","5113","347","17.75"
"617","617","403","5150","347","19.75"
"618","618","424","5209","347","23.05"
"619","619","447","5288","347","25.2"
"620","620","469","5388","347","31.1"
"621","621","491","5491","347","25.6"
"622","622","511","5610","347","28.1"
"623","623","533","5743","347","31.9"
"624","624","553","5879","347","30"
"625","625","573","6028","347","32.7"
"626","626","592","6179","347","31.15"
"627","627","611","6335","347","31.7"
"628","628","630","6493","346","31.85"
"629","629","647","6646","346","26.95"
"630","630","665","6808","346","29.05"
"631","631","681","6969","346","27.95"
"632","632","697","7123","346","23.5"
"633","633","712","7282","346","25.2"
"634","634","726","7441","346","25.75"
"635","635","740","7592","346","21.05"
"636","636","753","7745","345","21.55"
"637","637","765","7897","345","22.5"
"638","638","777","8045","345","21.1"
"639","639","788","8188","345","19.9"
"640","640","798","8326","345","18.45"
"641","641","807","8457","345","14.9"
"642","642","815","8590","345","18"
"643","643","823","8713","345","15.75"
"644","644","830","8831","345","13.55"
"645","645","836","8948","345","16.4"
"646","646","841","9058","344","15.6"
"647","647","845","9160","344","13.55"
"648","648","848","9253","344","12.85"
"649","649","852","9340","344","11.75"
"650","650","852","9418","344","10.35"
"651","651","854","9488","344","7.85"
"652","652","853","9550","344","7"
"653","653","853","9605","344","7.15"
"654","654","852","9649","344","4.15"
"655","655","849","9683","344","1.35"
"656","656","846","9707","344","-0.75"
"657","657","842","9724","344","-2"
"658","658","837","9736","344","-1.55"
"659","659","831","9743","344","-0.7"
"660","660","825","9743","344","-1.1"
"661","661","818","9737","344","1.1"
"662","662","810","9724","344","1.9"
"663","663","801","9701","344","1.85"
"664","664","792","9667","344","0.4"
"665","665","781","9621","344","-1.85"
"666","666","770","9562","344","-6.25"
"667","667","759","9488","344","-10.65"
